11:8:40 GET /js/controller/StartHandler.js Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:66.0) Gecko/20100101 Firefox/66.0
11:8:40 GET /js/view/ViewCurrentDataScore.js Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:66.0) Gecko/20100101 Firefox/66.0
11:8:40 GET /socket.io/?EIO=3&transport=polling&t=1554538120690-0 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:66.0) Gecko/20100101 Firefox/66.0
11:8:41 GET /socket.io/?EIO=3&transport=polling&t=1554538121751-1 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:66.0) Gecko/20100101 Firefox/66.0
11:8:43 GET /socket.io/?EIO=3&transport=polling&t=1554538123824-2 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:66.0) Gecko/20100101 Firefox/66.0
11:8:46 GET /socket.io/?EIO=3&transport=polling&t=1554538126849-3 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:66.0) Gecko/20100101 Firefox/66.0
11:8:50 GET /socket.io/?EIO=3&transport=polling&t=1554538130871-4 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:66.0) Gecko/20100101 Firefox/66.0
11:8:56 GET /socket.io/?EIO=3&transport=polling&t=1554538136147-5 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:66.0) Gecko/20100101 Firefox/66.0
11:9:6 GET /socket.io/?EIO=3&transport=polling&t=1554538146782-6 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:66.0) Gecko/20100101 Firefox/66.0
11:9:15 GET /socket.io/?EIO=3&transport=polling&t=1554538155184-7 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:66.0) Gecko/20100101 Firefox/66.0
11:9:20 GET /socket.io/?EIO=3&transport=polling&t=1554538160195-8 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:66.0) Gecko/20100101 Firefox/66.0
11:9:25 GET /socket.io/?EIO=3&transport=polling&t=1554538165217-9 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:66.0) Gecko/20100101 Firefox/66.0
11:9:30 GET /socket.io/?EIO=3&transport=polling&t=1554538170254-10 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:66.0) Gecko/20100101 Firefox/66.0
11:9:35 GET /socket.io/?EIO=3&transport=polling&t=1554538175284-11 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:66.0) Gecko/20100101 Firefox/66.0
11:9:40 GET /socket.io/?EIO=3&transport=polling&t=1554538180312-12 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:66.0) Gecko/20100101 Firefox/66.0
11:9:45 GET /socket.io/?EIO=3&transport=polling&t=1554538185345-13 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:66.0) Gecko/20100101 Firefox/66.0
11:9:50 GET /socket.io/?EIO=3&transport=polling&t=1554538190383-14 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:66.0) Gecko/20100101 Firefox/66.0
11:9:55 GET /socket.io/?EIO=3&transport=polling&t=1554538195413-15 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:66.0) Gecko/20100101 Firefox/66.0
11:10:0 GET /socket.io/?EIO=3&transport=polling&t=1554538200442-16 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:66.0) Gecko/20100101 Firefox/66.0
11:10:5 GET /socket.io/?EIO=3&transport=polling&t=1554538205478-17 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:66.0) Gecko/20100101 Firefox/66.0
